@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
2712,'2017/05/31 10:25:56:160',12,426,-2.807309,1
2713,'2017/05/31 10:25:56:164',12,426,-2.807309,1
2714,'2017/05/31 10:25:56:190',12,426,-2.817881,1
2715,'2017/05/31 10:25:56:191',12,426,-3.009901,1
2716,'2017/05/31 10:25:56:191',12,426,-3.200658,1
2717,'2017/05/31 10:25:56:202',12,426,-3.367213,1
2718,'2017/05/31 10:25:56:225',12,422,-3.53268,1
2719,'2017/05/31 10:25:56:225',12,422,-3.716612,1
2720,'2017/05/31 10:25:56:229',12,422,-3.912338,1
2721,'2017/05/31 10:25:56:248',12,422,-4.106796,1
2722,'2017/05/31 10:25:56:251',12,422,-4.290323,1
2723,'2017/05/31 10:25:56:259',12,426,-4.472669,1
2724,'2017/05/31 10:25:56:275',12,426,-4.634615,1
2725,'2017/05/31 10:25:56:279',12,426,-4.782748,1
2726,'2017/05/31 10:25:56:293',12,426,-4.929936,1
2727,'2017/05/31 10:25:56:299',12,426,-5.085714,1
2728,'2017/05/31 10:25:56:312',12,419,-5.240506,1
2729,'2017/05/31 10:25:56:319',12,419,-5.375394,1
2730,'2017/05/31 10:25:56:339',12,419,-5.531446,1
2731,'2017/05/31 10:25:56:339',12,419,-5.686521,1
2732,'2017/05/31 10:25:56:349',12,419,-5.840625,1
2733,'2017/05/31 10:25:56:362',12,422,-5.99377,1
2734,'2017/05/31 10:25:56:369',12,422,-6.127329,1
2735,'2017/05/31 10:25:56:393',12,422,-6.250774,1
2736,'2017/05/31 10:25:56:393',12,422,-6.373457,1
2737,'2017/05/31 10:25:56:399',12,422,-6.516923,1
2738,'2017/05/31 10:25:56:411',12,429,-6.659509,1
2739,'2017/05/31 10:25:56:448',12,429,-6.837921,1
2740,'2017/05/31 10:25:56:448',12,429,-6.993902,1
2741,'2017/05/31 10:25:56:448',12,429,-7.148936,1
2742,'2017/05/31 10:25:56:460',12,429,-7.30303,1
2743,'2017/05/31 10:25:56:460',12,439,-7.456193,1
2744,'2017/05/31 10:25:56:469',12,439,-7.626506,1
2745,'2017/05/31 10:25:56:479',12,439,-7.765766,1
2746,'2017/05/31 10:25:56:493',12,439,-7.904191,1
2747,'2017/05/31 10:25:56:499',12,439,-8.041791,1
2748,'2017/05/31 10:25:56:509',12,439,-8.178572,1
2749,'2017/05/31 10:25:56:519',12,439,-8.338279,1
2750,'2017/05/31 10:25:56:529',12,439,-8.497042,1
2751,'2017/05/31 10:25:56:547',12,439,-8.654867,1
2752,'2017/05/31 10:25:56:549',12,439,-8.802941,1
2753,'2017/05/31 10:25:56:559',12,432,-8.950147,1
2754,'2017/05/31 10:25:56:576',12,432,-9.096491,1
2755,'2017/05/31 10:25:56:582',12,432,-9.262391,1
2756,'2017/05/31 10:25:56:602',12,432,-9.427325,1
2757,'2017/05/31 10:25:56:602',12,432,-9.571014,1
2758,'2017/05/31 10:25:56:609',12,416,-9.713873,1
2759,'2017/05/31 10:25:56:641',12,416,-9.855907,1
2760,'2017/05/31 10:25:56:641',12,416,-10.043103,1
2761,'2017/05/31 10:25:56:641',12,416,-10.229226,1
2762,'2017/05/31 10:25:56:659',12,416,-10.414286,1
2763,'2017/05/31 10:25:56:659',12,422,-10.59829,1
2764,'2017/05/31 10:25:56:677',12,422,-10.78125,1
2765,'2017/05/31 10:25:56:679',12,422,-10.946176,1
2766,'2017/05/31 10:25:56:694',12,422,-11.110169,1
2767,'2017/05/31 10:25:56:699',12,422,-11.264789,1
2768,'2017/05/31 10:25:56:709',12,429,-11.418539,1
2769,'2017/05/31 10:25:56:723',12,429,-11.515407,1
2770,'2017/05/31 10:25:56:729',12,429,-11.592178,1
2771,'2017/05/31 10:25:56:739',12,429,-11.668524,1
2772,'2017/05/31 10:25:56:751',12,429,-11.744445,1
2773,'2017/05/31 10:25:56:759',12,429,-11.819944,1
2774,'2017/05/31 10:25:56:769',12,429,-11.928177,1
2775,'2017/05/31 10:25:56:802',12,429,-12.035812,1
2776,'2017/05/31 10:25:56:802',12,429,-12.142858,1
2777,'2017/05/31 10:25:56:802',12,429,-12.257534,1
2778,'2017/05/31 10:25:56:809',12,432,-12.371585,1
2779,'2017/05/31 10:25:56:844',12,432,-12.506812,1
2780,'2017/05/31 10:25:56:844',12,432,-12.633152,1
2781,'2017/05/31 10:25:56:844',12,432,-12.758807,1
2782,'2017/05/31 10:25:56:858',12,432,-12.883783,1
2783,'2017/05/31 10:25:56:859',12,432,-13.008086,1
2784,'2017/05/31 10:25:56:869',12,432,-13.131721,1
2785,'2017/05/31 10:25:56:885',12,432,-13.254692,1
2786,'2017/05/31 10:25:56:889',12,432,-13.377006,1
2787,'2017/05/31 10:25:56:899',12,432,-13.498667,1
2788,'2017/05/31 10:25:56:912',12,442,-13.61968,1
2789,'2017/05/31 10:25:56:919',12,442,-13.740053,1
2790,'2017/05/31 10:25:56:929',12,442,-13.833333,1
2791,'2017/05/31 10:25:56:940',12,442,-13.926122,1
2792,'2017/05/31 10:25:56:949',12,442,-14.018421,1
2793,'2017/05/31 10:25:56:959',12,442,-14.110236,1
2794,'2017/05/31 10:25:56:973',12,442,-14.201571,1
2795,'2017/05/31 10:25:56:980',12,442,-14.292428,1
2796,'2017/05/31 10:25:57:001',12,442,-14.382813,1
2797,'2017/05/31 10:25:57:001',12,442,-14.480519,1
2798,'2017/05/31 10:25:57:009',12,448,-14.577721,1
2799,'2017/05/31 10:25:57:041',12,448,-14.674418,1
2800,'2017/05/31 10:25:57:042',12,448,-14.755155,1
2801,'2017/05/31 10:25:57:042',12,448,-14.835476,1
2802,'2017/05/31 10:25:57:059',12,448,-14.915384,1
2803,'2017/05/31 10:25:57:060',12,452,-14.994884,1
2804,'2017/05/31 10:25:57:077',12,452,-15.089286,1
2805,'2017/05/31 10:25:57:079',12,452,-15.173028,1
2806,'2017/05/31 10:25:57:093',12,452,-15.256345,1
2807,'2017/05/31 10:25:57:099',12,452,-15.324051,1
2808,'2017/05/31 10:25:57:109',12,452,-15.391414,1
2809,'2017/05/31 10:25:57:119',12,452,-15.443325,1
2810,'2017/05/31 10:25:57:129',12,452,-15.494975,1
2811,'2017/05/31 10:25:57:139',12,452,-15.546366,1
2812,'2017/05/31 10:25:57:149',12,452,-15.5975,1
2813,'2017/05/31 10:25:57:159',12,452,-15.648379,1
2814,'2017/05/31 10:25:57:169',12,442,-15.425373,1
2815,'2017/05/31 10:25:57:202',12,442,-15.203474,1
2816,'2017/05/31 10:25:57:202',12,442,-15.007425,1
2817,'2017/05/31 10:25:57:202',12,442,-14.812346,1
2818,'2017/05/31 10:25:57:209',12,442,-14.610837,1
2819,'2017/05/31 10:25:57:244',12,439,-14.390663,1
2820,'2017/05/31 10:25:57:244',12,439,-14.171569,1
2821,'2017/05/31 10:25:57:244',12,439,-13.96088,1
2822,'2017/05/31 10:25:57:260',12,439,-13.75122,1
2823,'2017/05/31 10:25:57:260',12,439,-13.549878,1
2824,'2017/05/31 10:25:57:280',12,439,-13.368932,1
2825,'2017/05/31 10:25:57:280',12,439,-13.188862,1
2826,'2017/05/31 10:25:57:289',12,439,-13.009662,1
2827,'2017/05/31 10:25:57:299',12,439,-12.831326,1
2828,'2017/05/31 10:25:57:310',12,439,-12.661057,1
2829,'2017/05/31 10:25:57:319',12,439,-12.458034,1
2830,'2017/05/31 10:25:57:329',12,439,-12.25598,1
2831,'2017/05/31 10:25:57:339',12,439,-12.054893,1
2832,'2017/05/31 10:25:57:349',12,439,-11.854762,1
2833,'2017/05/31 10:25:57:363',12,439,-11.662708,1
2834,'2017/05/31 10:25:57:369',12,439,-11.485782,1
2835,'2017/05/31 10:25:57:394',12,439,-11.309692,1
2836,'2017/05/31 10:25:57:394',12,439,-11.134434,1
2837,'2017/05/31 10:25:57:410',12,439,-10.96,1
2838,'2017/05/31 10:25:57:410',12,439,-10.772301,1
2839,'2017/05/31 10:25:57:434',12,439,-10.772301,1
2840,'2017/05/31 10:25:57:434',12,439,-10.618267,1
2841,'2017/05/31 10:25:57:439',12,439,-10.464953,1
2842,'2017/05/31 10:25:57:458',12,439,-10.160465,1
2843,'2017/05/31 10:25:57:459',12,439,-10.00232,1
2844,'2017/05/31 10:25:57:475',12,452,-9.891204,1
2845,'2017/05/31 10:25:57:479',12,452,-9.780601,1
2846,'2017/05/31 10:25:57:489',12,452,-9.640553,1
2847,'2017/05/31 10:25:57:502',12,452,-9.501149,1
2848,'2017/05/31 10:25:57:509',12,452,-9.353211,1
2849,'2017/05/31 10:25:57:519',12,458,-9.20595,1
2850,'2017/05/31 10:25:57:530',12,458,-9.059361,1
2851,'2017/05/31 10:25:57:539',12,458,-8.899773,1
2852,'2017/05/31 10:25:57:549',12,458,-8.740909,1
2853,'2017/05/31 10:25:57:559',12,458,-8.582767,1
2854,'2017/05/31 10:25:57:569',12,458,-8.393665,1
2855,'2017/05/31 10:25:57:594',12,458,-8.205418,1
2856,'2017/05/31 10:25:57:594',12,458,-8.018018,1
2857,'2017/05/31 10:25:57:608',12,458,-7.83146,1
2858,'2017/05/31 10:25:57:609',12,458,-7.64574,1
2859,'2017/05/31 10:25:57:642',12,458,-7.389262,1
2860,'2017/05/31 10:25:57:642',12,458,-7.133929,1
2861,'2017/05/31 10:25:57:642',12,458,-6.879733,1
2862,'2017/05/31 10:25:57:649',12,458,-6.626667,1
2863,'2017/05/31 10:25:57:660',12,458,-6.374723,1
2864,'2017/05/31 10:25:57:669',12,455,-6.150443,1
2865,'2017/05/31 10:25:57:687',12,455,-5.927152,1
2866,'2017/05/31 10:25:57:689',12,455,-5.711454,1
2867,'2017/05/31 10:25:57:699',12,455,-5.496703,1
2868,'2017/05/31 10:25:57:712',12,455,-5.304824,1
2869,'2017/05/31 10:25:57:719',12,445,-5.14442,1
2870,'2017/05/31 10:25:57:729',12,445,-4.984716,1
2871,'2017/05/31 10:25:57:741',12,445,-4.847495,1
2872,'2017/05/31 10:25:57:749',12,445,-4.71087,1
2873,'2017/05/31 10:25:57:759',12,445,-4.561822,1
2874,'2017/05/31 10:25:57:769',12,448,-4.41342,1
2875,'2017/05/31 10:25:57:779',12,448,-4.265659,1
2876,'2017/05/31 10:25:57:801',12,448,-4.112069,1
2877,'2017/05/31 10:25:57:801',12,448,-3.95914,1
2878,'2017/05/31 10:25:57:809',12,448,-3.798283,1
