@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2017/05/28 20:53:31:412',1,0,93,0,70
2,'2017/05/28 20:53:31:433',1,1,106,1,119
3,'2017/05/28 20:53:31:435',1,2,128,2,177
4,'2017/05/28 20:53:31:436',1,3,144,3,196
5,'2017/05/28 20:53:31:437',1,4,170,4,245
6,'2017/05/28 20:53:31:466',1,5,193,5,287
7,'2017/05/28 20:53:31:468',1,6,212,6,325
8,'2017/05/28 20:53:31:470',1,7,235,7,351
9,'2017/05/28 20:53:31:500',1,8,248,8,380
10,'2017/05/28 20:53:31:501',1,9,274,9,406
11,'2017/05/28 20:53:31:502',1,10,293,10,442
12,'2017/05/28 20:53:31:520',1,11,322,11,464
13,'2017/05/28 20:53:31:524',1,12,329,12,500
14,'2017/05/28 20:53:31:527',1,13,358,13,555
15,'2017/05/28 20:53:31:548',1,14,393,14,587
16,'2017/05/28 20:53:31:549',1,15,413,15,616
17,'2017/05/28 20:53:31:558',1,16,432,16,649
18,'2017/05/28 20:53:31:574',1,17,448,17,678
19,'2017/05/28 20:53:31:576',1,18,464,18,713
20,'2017/05/28 20:53:31:586',1,19,481,19,733
21,'2017/05/28 20:53:31:603',1,20,500,20,759
22,'2017/05/28 20:53:31:608',1,21,510,21,775
23,'2017/05/28 20:53:31:617',1,22,516,22,794
24,'2017/05/28 20:53:31:635',1,23,523,23,807
25,'2017/05/28 20:53:31:637',1,24,529,24,810
26,'2017/05/28 20:53:31:667',1,25,536,25,817
27,'2017/05/28 20:53:31:668',1,26,552,26,823
28,'2017/05/28 20:53:31:669',1,27,565,27,830
29,'2017/05/28 20:53:31:686',1,28,574,28,830
30,'2017/05/28 20:53:31:700',1,29,581,29,836
31,'2017/05/28 20:53:31:702',1,30,587,30,839
32,'2017/05/28 20:53:31:707',1,31,600,31,843
33,'2017/05/28 20:53:31:722',1,32,603,32,846
34,'2017/05/28 20:53:31:727',1,33,607,33,852
35,'2017/05/28 20:53:31:736',1,34,607,34,852
36,'2017/05/28 20:53:31:751',1,35,610,35,852
37,'2017/05/28 20:53:31:757',1,36,613,36,852
38,'2017/05/28 20:53:31:766',1,37,613,37,852
39,'2017/05/28 20:53:31:781',1,38,613,38,852
40,'2017/05/28 20:53:31:786',1,39,613,39,852
41,'2017/05/28 20:53:31:803',1,40,613,40,849
42,'2017/05/28 20:53:31:807',1,41,610,41,849
43,'2017/05/28 20:53:31:831',1,42,610,42,849
44,'2017/05/28 20:53:31:832',1,43,613,43,849
45,'2017/05/28 20:53:31:836',1,44,616,44,849
46,'2017/05/28 20:53:31:868',1,45,616,45,852
47,'2017/05/28 20:53:31:868',1,46,616,46,852
48,'2017/05/28 20:53:31:869',1,47,616,47,852
49,'2017/05/28 20:53:31:885',1,48,616,48,852
50,'2017/05/28 20:53:31:886',1,49,616,49,852
51,'2017/05/28 20:53:31:896',1,50,616,50,849
52,'2017/05/28 20:53:31:910',1,51,626,51,849
53,'2017/05/28 20:53:31:916',1,52,626,52,849
54,'2017/05/28 20:53:31:927',1,53,629,53,852
55,'2017/05/28 20:53:31:945',1,54,629,54,852
56,'2017/05/28 20:53:31:947',1,55,629,55,856
57,'2017/05/28 20:53:31:956',1,56,629,56,856
58,'2017/05/28 20:53:31:967',1,57,629,57,852
59,'2017/05/28 20:53:31:979',1,58,629,58,849
60,'2017/05/28 20:53:31:986',1,59,633,59,849
61,'2017/05/28 20:53:32:005',1,60,636,60,852
62,'2017/05/28 20:53:32:007',1,61,636,61,856
63,'2017/05/28 20:53:32:030',1,62,633,62,856
64,'2017/05/28 20:53:32:031',1,63,633,63,856
65,'2017/05/28 20:53:32:036',1,64,626,64,859
66,'2017/05/28 20:53:32:068',1,65,623,65,862
67,'2017/05/28 20:53:32:069',1,66,620,66,865
68,'2017/05/28 20:53:32:070',1,67,620,67,865
69,'2017/05/28 20:53:32:099',1,68,616,68,869
70,'2017/05/28 20:53:32:100',1,69,616,69,869
71,'2017/05/28 20:53:32:101',1,70,616,70,865
72,'2017/05/28 20:53:32:106',1,71,610,71,862
73,'2017/05/28 20:53:32:132',1,72,607,72,862
74,'2017/05/28 20:53:32:133',1,73,603,73,859
75,'2017/05/28 20:53:32:136',1,74,603,74,852
76,'2017/05/28 20:53:32:165',1,75,600,75,849
77,'2017/05/28 20:53:32:166',1,76,581,76,839
78,'2017/05/28 20:53:32:166',1,77,568,77,833
79,'2017/05/28 20:53:32:197',1,78,545,78,827
80,'2017/05/28 20:53:32:198',1,79,532,79,814
81,'2017/05/28 20:53:32:199',1,80,519,80,797
82,'2017/05/28 20:53:32:206',1,81,513,81,781
83,'2017/05/28 20:53:32:234',1,82,503,82,775
84,'2017/05/28 20:53:32:235',1,83,497,83,765
85,'2017/05/28 20:53:32:236',1,84,487,84,739
86,'2017/05/28 20:53:32:268',1,85,474,85,726
87,'2017/05/28 20:53:32:269',1,86,455,86,681
88,'2017/05/28 20:53:32:270',1,87,445,87,639
89,'2017/05/28 20:53:32:298',1,88,426,88,581
90,'2017/05/28 20:53:32:299',1,89,393,89,561
91,'2017/05/28 20:53:32:300',1,90,371,90,474
92,'2017/05/28 20:53:32:306',1,91,351,91,400
93,'2017/05/28 20:53:32:341',1,92,329,92,322
94,'2017/05/28 20:53:32:342',1,93,290,93,258
95,'2017/05/28 20:53:32:343',1,94,274,94,203
96,'2017/05/28 20:53:32:353',1,95,238,95,177
97,'2017/05/28 20:53:32:358',1,96,215,96,112
98,'2017/05/28 20:53:32:378',1,97,180,97,93
99,'2017/05/28 20:53:32:379',1,98,119,98,86
100,'2017/05/28 20:53:32:386',1,99,86,99,83
101,'2017/05/28 20:57:53:804',2,0,115,0,119
102,'2017/05/28 20:57:53:806',2,1,119,1,135
103,'2017/05/28 20:57:53:826',2,2,125,2,154
104,'2017/05/28 20:57:53:827',2,3,148,3,190
105,'2017/05/28 20:57:53:852',2,4,144,4,219
106,'2017/05/28 20:57:53:852',2,5,144,5,248
107,'2017/05/28 20:57:53:854',2,6,151,6,290
108,'2017/05/28 20:57:53:885',2,7,173,7,309
109,'2017/05/28 20:57:53:886',2,8,180,8,345
110,'2017/05/28 20:57:53:886',2,9,193,9,406
111,'2017/05/28 20:57:53:894',2,10,196,10,442
112,'2017/05/28 20:57:53:912',2,11,228,11,500
113,'2017/05/28 20:57:53:914',2,12,251,12,519
114,'2017/05/28 20:57:53:934',2,13,251,13,545
115,'2017/05/28 20:57:53:935',2,14,254,14,584
116,'2017/05/28 20:57:53:944',2,15,270,15,603
117,'2017/05/28 20:57:53:963',2,16,296,16,671
118,'2017/05/28 20:57:53:964',2,17,296,17,691
119,'2017/05/28 20:57:53:974',2,18,322,18,713
120,'2017/05/28 20:57:53:985',2,19,348,19,749
121,'2017/05/28 20:57:54:000',2,20,361,20,762
122,'2017/05/28 20:57:54:005',2,21,358,21,775
123,'2017/05/28 20:57:54:029',2,22,387,22,785
124,'2017/05/28 20:57:54:029',2,23,393,23,791
125,'2017/05/28 20:57:54:035',2,24,400,24,797
126,'2017/05/28 20:57:54:050',2,25,409,25,804
127,'2017/05/28 20:57:54:054',2,26,422,26,810
128,'2017/05/28 20:57:54:091',2,27,422,27,817
129,'2017/05/28 20:57:54:091',2,28,426,28,820
130,'2017/05/28 20:57:54:092',2,29,439,29,827
131,'2017/05/28 20:57:54:094',2,30,439,30,827
132,'2017/05/28 20:57:54:110',2,31,458,31,830
133,'2017/05/28 20:57:54:114',2,32,458,32,830
134,'2017/05/28 20:57:54:124',2,33,458,33,836
135,'2017/05/28 20:57:54:136',2,34,461,34,836
136,'2017/05/28 20:57:54:144',2,35,458,35,839
137,'2017/05/28 20:57:54:154',2,36,458,36,843
138,'2017/05/28 20:57:54:168',2,37,458,37,843
139,'2017/05/28 20:57:54:174',2,38,468,38,843
140,'2017/05/28 20:57:54:185',2,39,471,39,843
141,'2017/05/28 20:57:54:198',2,40,474,40,843
142,'2017/05/28 20:57:54:205',2,41,474,41,846
143,'2017/05/28 20:57:54:236',2,42,487,42,849
144,'2017/05/28 20:57:54:236',2,43,497,43,849
145,'2017/05/28 20:57:54:237',2,44,497,44,849
146,'2017/05/28 20:57:54:244',2,45,487,45,849
147,'2017/05/28 20:57:54:283',2,46,487,46,849
148,'2017/05/28 20:57:54:283',2,47,487,47,849
149,'2017/05/28 20:57:54:283',2,48,487,48,846
150,'2017/05/28 20:57:54:285',2,49,487,49,849
151,'2017/05/28 20:57:54:294',2,50,481,50,849
152,'2017/05/28 20:57:54:312',2,51,484,51,839
153,'2017/05/28 20:57:54:315',2,52,490,52,843
154,'2017/05/28 20:57:54:333',2,53,490,53,849
155,'2017/05/28 20:57:54:334',2,54,481,54,852
156,'2017/05/28 20:57:54:344',2,55,477,55,849
157,'2017/05/28 20:57:54:362',2,56,477,56,843
158,'2017/05/28 20:57:54:364',2,57,481,57,839
159,'2017/05/28 20:57:54:384',2,58,481,58,839
160,'2017/05/28 20:57:54:385',2,59,474,59,843
161,'2017/05/28 20:57:54:394',2,60,471,60,846
162,'2017/05/28 20:57:54:414',2,61,471,61,846
163,'2017/05/28 20:57:54:416',2,62,471,62,846
164,'2017/05/28 20:57:54:425',2,63,474,63,849
165,'2017/05/28 20:57:54:454',2,64,487,64,849
166,'2017/05/28 20:57:54:454',2,65,497,65,849
167,'2017/05/28 20:57:54:455',2,66,500,66,852
168,'2017/05/28 20:57:54:496',2,67,494,67,852
169,'2017/05/28 20:57:54:496',2,68,494,68,852
170,'2017/05/28 20:57:54:497',2,69,490,69,852
171,'2017/05/28 20:57:54:497',2,70,490,70,852
172,'2017/05/28 20:57:54:512',2,71,481,71,846
173,'2017/05/28 20:57:54:515',2,72,484,72,843
174,'2017/05/28 20:57:54:525',2,73,481,73,843
175,'2017/05/28 20:57:54:541',2,74,471,74,839
176,'2017/05/28 20:57:54:544',2,75,471,75,833
177,'2017/05/28 20:57:54:555',2,76,461,76,823
178,'2017/05/28 20:57:54:567',2,77,458,77,810
179,'2017/05/28 20:57:54:574',2,78,455,78,794
180,'2017/05/28 20:57:54:585',2,79,442,79,775
181,'2017/05/28 20:57:54:598',2,80,435,80,762
182,'2017/05/28 20:57:54:606',2,81,426,81,749
183,'2017/05/28 20:57:54:641',2,82,429,82,726
184,'2017/05/28 20:57:54:641',2,83,387,83,710
185,'2017/05/28 20:57:54:641',2,84,403,84,688
186,'2017/05/28 20:57:54:645',2,85,403,85,662
187,'2017/05/28 20:57:54:683',2,86,367,86,639
188,'2017/05/28 20:57:54:683',2,87,358,87,610
189,'2017/05/28 20:57:54:684',2,88,355,88,565
190,'2017/05/28 20:57:54:685',2,89,358,89,516
191,'2017/05/28 20:57:54:694',2,90,345,90,416
192,'2017/05/28 20:57:54:711',2,91,329,91,325
193,'2017/05/28 20:57:54:715',2,92,283,92,300
194,'2017/05/28 20:57:54:734',2,93,261,93,258
195,'2017/05/28 20:57:54:734',2,94,193,94,228
196,'2017/05/28 20:57:54:744',2,95,177,95,193
197,'2017/05/28 20:57:54:763',2,96,173,96,148
198,'2017/05/28 20:57:54:764',2,97,151,97,115
199,'2017/05/28 20:57:54:784',2,98,122,98,109
200,'2017/05/28 20:57:54:786',2,99,119,99,106
201,'2017/05/28 21:00:30:375',3,0,128,0,135
202,'2017/05/28 21:00:30:377',3,1,148,1,161
203,'2017/05/28 21:00:30:410',3,2,148,2,186
204,'2017/05/28 21:00:30:410',3,3,154,3,215
205,'2017/05/28 21:00:30:411',3,4,157,4,248
206,'2017/05/28 21:00:30:415',3,5,161,5,303
207,'2017/05/28 21:00:30:461',3,6,180,6,332
208,'2017/05/28 21:00:30:462',3,7,196,7,351
209,'2017/05/28 21:00:30:462',3,8,212,8,384
210,'2017/05/28 21:00:30:462',3,9,235,9,422
211,'2017/05/28 21:00:30:466',3,10,251,10,471
212,'2017/05/28 21:00:30:490',3,11,258,11,497
213,'2017/05/28 21:00:30:490',3,12,274,12,526
214,'2017/05/28 21:00:30:495',3,13,287,13,584
215,'2017/05/28 21:00:30:514',3,14,296,14,649
216,'2017/05/28 21:00:30:515',3,15,309,15,688
217,'2017/05/28 21:00:30:525',3,16,332,16,742
218,'2017/05/28 21:00:30:538',3,17,335,17,762
219,'2017/05/28 21:00:30:545',3,18,351,18,775
220,'2017/05/28 21:00:30:555',3,19,364,19,788
221,'2017/05/28 21:00:30:569',3,20,384,20,801
222,'2017/05/28 21:00:30:575',3,21,403,21,804
223,'2017/05/28 21:00:30:602',3,22,406,22,810
224,'2017/05/28 21:00:30:602',3,23,416,23,817
225,'2017/05/28 21:00:30:604',3,24,426,24,820
226,'2017/05/28 21:00:30:615',3,25,432,25,823
227,'2017/05/28 21:00:30:644',3,26,448,26,827
228,'2017/05/28 21:00:30:644',3,27,448,27,827
229,'2017/05/28 21:00:30:645',3,28,448,28,833
230,'2017/05/28 21:00:30:660',3,29,461,29,836
231,'2017/05/28 21:00:30:665',3,30,471,30,843
232,'2017/05/28 21:00:30:678',3,31,477,31,843
233,'2017/05/28 21:00:30:694',3,32,484,32,843
234,'2017/05/28 21:00:30:694',3,33,484,33,846
235,'2017/05/28 21:00:30:705',3,34,481,34,852
236,'2017/05/28 21:00:30:722',3,35,487,35,856
237,'2017/05/28 21:00:30:725',3,36,494,36,856
238,'2017/05/28 21:00:30:735',3,37,494,37,856
239,'2017/05/28 21:00:30:748',3,38,494,38,856
240,'2017/05/28 21:00:30:755',3,39,490,39,856
241,'2017/05/28 21:00:30:765',3,40,490,40,856
242,'2017/05/28 21:00:30:778',3,41,500,41,856
243,'2017/05/28 21:00:30:803',3,42,506,42,856
244,'2017/05/28 21:00:30:803',3,43,510,43,856
245,'2017/05/28 21:00:30:804',3,44,510,44,856
246,'2017/05/28 21:00:30:815',3,45,497,45,856
247,'2017/05/28 21:00:30:842',3,46,497,46,856
248,'2017/05/28 21:00:30:843',3,47,497,47,856
249,'2017/05/28 21:00:30:845',3,48,494,48,859
250,'2017/05/28 21:00:30:860',3,49,494,49,859
251,'2017/05/28 21:00:30:865',3,50,500,50,859
252,'2017/05/28 21:00:30:878',3,51,503,51,862
253,'2017/05/28 21:00:30:885',3,52,503,52,862
254,'2017/05/28 21:00:30:895',3,53,500,53,862
255,'2017/05/28 21:00:30:906',3,54,500,54,862
256,'2017/05/28 21:00:30:915',3,55,497,55,865
257,'2017/05/28 21:00:30:930',3,56,494,56,865
258,'2017/05/28 21:00:30:935',3,57,500,57,865
259,'2017/05/28 21:00:30:945',3,58,497,58,862
260,'2017/05/28 21:00:30:959',3,59,487,59,859
261,'2017/05/28 21:00:30:965',3,60,487,60,856
262,'2017/05/28 21:00:30:982',3,61,487,61,852
263,'2017/05/28 21:00:30:985',3,62,490,62,852
264,'2017/05/28 21:00:30:995',3,63,481,63,852
265,'2017/05/28 21:00:31:016',3,64,484,64,852
266,'2017/05/28 21:00:31:016',3,65,484,65,852
267,'2017/05/28 21:00:31:025',3,66,484,66,852
268,'2017/05/28 21:00:31:056',3,67,474,67,852
269,'2017/05/28 21:00:31:057',3,68,474,68,846
270,'2017/05/28 21:00:31:057',3,69,474,69,843
271,'2017/05/28 21:00:31:065',3,70,477,70,839
272,'2017/05/28 21:00:31:078',3,71,474,71,839
273,'2017/05/28 21:00:31:093',3,72,474,72,839
274,'2017/05/28 21:00:31:095',3,73,464,73,833
275,'2017/05/28 21:00:31:105',3,74,458,74,830
276,'2017/05/28 21:00:31:120',3,75,455,75,817
277,'2017/05/28 21:00:31:125',3,76,461,76,807
278,'2017/05/28 21:00:31:136',3,77,461,77,788
279,'2017/05/28 21:00:31:148',3,78,461,78,778
280,'2017/05/28 21:00:31:155',3,79,455,79,765
281,'2017/05/28 21:00:31:170',3,80,445,80,752
282,'2017/05/28 21:00:31:175',3,81,439,81,697
283,'2017/05/28 21:00:31:202',3,82,422,82,723
284,'2017/05/28 21:00:31:202',3,83,406,83,688
285,'2017/05/28 21:00:31:204',3,84,400,84,639
286,'2017/05/28 21:00:31:215',3,85,406,85,587
287,'2017/05/28 21:00:31:243',3,86,387,86,561
288,'2017/05/28 21:00:31:244',3,87,374,87,552
289,'2017/05/28 21:00:31:245',3,88,361,88,532
290,'2017/05/28 21:00:31:261',3,89,335,89,510
291,'2017/05/28 21:00:31:265',3,90,322,90,445
292,'2017/05/28 21:00:31:279',3,91,303,91,406
293,'2017/05/28 21:00:31:285',3,92,248,92,312
294,'2017/05/28 21:00:31:300',3,93,219,93,270
295,'2017/05/28 21:00:31:305',3,94,196,94,222
296,'2017/05/28 21:00:31:315',3,95,177,95,183
297,'2017/05/28 21:00:31:330',3,96,170,96,161
298,'2017/05/28 21:00:31:335',3,97,164,97,131
299,'2017/05/28 21:00:31:353',3,98,148,98,122
300,'2017/05/28 21:00:31:355',3,99,135,99,106
301,'2017/05/28 21:03:48:424',4,0,164,0,135
302,'2017/05/28 21:03:48:426',4,1,173,1,161
303,'2017/05/28 21:03:48:434',4,2,190,2,186
304,'2017/05/28 21:03:48:465',4,3,199,3,215
305,'2017/05/28 21:03:48:465',4,4,209,4,248
306,'2017/05/28 21:03:48:465',4,5,222,5,303
307,'2017/05/28 21:03:48:475',4,6,232,6,332
308,'2017/05/28 21:03:48:517',4,7,241,7,351
309,'2017/05/28 21:03:48:518',4,8,248,8,384
310,'2017/05/28 21:03:48:518',4,9,251,9,422
311,'2017/05/28 21:03:48:518',4,10,261,10,471
312,'2017/05/28 21:03:48:525',4,11,264,11,497
313,'2017/05/28 21:03:48:546',4,12,267,12,526
314,'2017/05/28 21:03:48:547',4,13,277,13,584
315,'2017/05/28 21:03:48:555',4,14,280,14,649
316,'2017/05/28 21:03:48:573',4,15,283,15,688
317,'2017/05/28 21:03:48:574',4,16,287,16,742
318,'2017/05/28 21:03:48:593',4,17,293,17,762
319,'2017/05/28 21:03:48:595',4,18,296,18,775
320,'2017/05/28 21:03:48:604',4,19,300,19,788
321,'2017/05/28 21:03:48:615',4,20,300,20,801
322,'2017/05/28 21:03:48:625',4,21,303,21,804
323,'2017/05/28 21:03:48:648',4,22,306,22,810
324,'2017/05/28 21:03:48:648',4,23,306,23,817
325,'2017/05/28 21:03:48:654',4,24,306,24,820
326,'2017/05/28 21:03:48:669',4,25,306,25,823
327,'2017/05/28 21:03:48:674',4,26,306,26,827
328,'2017/05/28 21:03:48:697',4,27,306,27,827
329,'2017/05/28 21:03:48:697',4,28,306,28,833
330,'2017/05/28 21:03:48:704',4,29,306,29,836
331,'2017/05/28 21:03:48:719',4,30,309,30,843
332,'2017/05/28 21:03:48:724',4,31,309,31,843
333,'2017/05/28 21:03:48:738',4,32,309,32,843
334,'2017/05/28 21:03:48:745',4,33,309,33,846
335,'2017/05/28 21:03:48:757',4,34,309,34,852
336,'2017/05/28 21:03:48:765',4,35,309,35,856
337,'2017/05/28 21:03:48:781',4,36,309,36,856
338,'2017/05/28 21:03:48:784',4,37,309,37,856
339,'2017/05/28 21:03:48:795',4,38,309,38,856
340,'2017/05/28 21:03:48:808',4,39,309,39,856
341,'2017/05/28 21:03:48:814',4,40,309,40,856
342,'2017/05/28 21:03:48:825',4,41,309,41,856
343,'2017/05/28 21:03:48:846',4,42,309,42,856
344,'2017/05/28 21:03:48:846',4,43,309,43,856
345,'2017/05/28 21:03:48:854',4,44,309,44,856
346,'2017/05/28 21:03:48:883',4,45,309,45,856
347,'2017/05/28 21:03:48:883',4,46,309,46,856
348,'2017/05/28 21:03:48:884',4,47,309,47,856
349,'2017/05/28 21:03:48:902',4,48,309,48,859
350,'2017/05/28 21:03:48:904',4,49,309,49,859
351,'2017/05/28 21:03:48:918',4,50,309,50,859
352,'2017/05/28 21:03:48:924',4,51,309,51,862
353,'2017/05/28 21:03:48:941',4,52,309,52,862
354,'2017/05/28 21:03:48:944',4,53,309,53,862
355,'2017/05/28 21:03:48:954',4,54,309,54,862
356,'2017/05/28 21:03:48:965',4,55,309,55,865
357,'2017/05/28 21:03:48:974',4,56,309,56,865
358,'2017/05/28 21:03:48:984',4,57,312,57,865
359,'2017/05/28 21:03:48:999',4,58,312,58,862
360,'2017/05/28 21:03:49:004',4,59,312,59,859
361,'2017/05/28 21:03:49:015',4,60,312,60,856
362,'2017/05/28 21:03:49:024',4,61,312,61,852
363,'2017/05/28 21:03:49:037',4,62,312,62,852
364,'2017/05/28 21:03:49:061',4,63,312,63,852
365,'2017/05/28 21:03:49:061',4,64,312,64,852
366,'2017/05/28 21:03:49:064',4,65,312,65,852
367,'2017/05/28 21:03:49:074',4,66,312,66,852
368,'2017/05/28 21:03:49:102',4,67,309,67,852
369,'2017/05/28 21:03:49:103',4,68,309,68,846
370,'2017/05/28 21:03:49:104',4,69,306,69,843
371,'2017/05/28 21:03:49:119',4,70,303,70,839
372,'2017/05/28 21:03:49:124',4,71,303,71,839
373,'2017/05/28 21:03:49:138',4,72,303,72,839
374,'2017/05/28 21:03:49:152',4,73,300,73,833
375,'2017/05/28 21:03:49:154',4,74,300,74,830
376,'2017/05/28 21:03:49:165',4,75,296,75,817
377,'2017/05/28 21:03:49:180',4,76,293,76,807
378,'2017/05/28 21:03:49:184',4,77,293,77,788
379,'2017/05/28 21:03:49:195',4,78,293,78,778
380,'2017/05/28 21:03:49:207',4,79,293,79,765
381,'2017/05/28 21:03:49:214',4,80,293,80,752
382,'2017/05/28 21:03:49:224',4,81,293,81,697
383,'2017/05/28 21:03:49:245',4,82,293,82,723
384,'2017/05/28 21:03:49:245',4,83,290,83,688
385,'2017/05/28 21:03:49:255',4,84,287,84,639
386,'2017/05/28 21:03:49:284',4,85,283,85,587
387,'2017/05/28 21:03:49:284',4,86,280,86,561
388,'2017/05/28 21:03:49:287',4,87,274,87,552
389,'2017/05/28 21:03:49:304',4,88,274,88,532
390,'2017/05/28 21:03:49:306',4,89,267,89,510
391,'2017/05/28 21:03:49:321',4,90,264,90,445
392,'2017/05/28 21:03:49:324',4,91,261,91,406
393,'2017/05/28 21:03:49:340',4,92,254,92,312
394,'2017/05/28 21:03:49:345',4,93,245,93,270
395,'2017/05/28 21:03:49:354',4,94,238,94,222
396,'2017/05/28 21:03:49:367',4,95,232,95,183
397,'2017/05/28 21:03:49:374',4,96,222,96,161
398,'2017/05/28 21:03:49:384',4,97,215,97,131
399,'2017/05/28 21:03:49:398',4,98,206,98,122
400,'2017/05/28 21:03:49:404',4,99,186,99,106
